,date,volume
874,24-05-2017,61236
875,25-05-2017,1830
876,26-05-2017,45916
877,27-05-2017,0
878,28-05-2017,10764
879,29-05-2017,74443
880,30-05-2017,69000
881,31-05-2017,68224
882,01-06-2017,64551
883,02-06-2017,53489
884,03-06-2017,0
885,04-06-2017,0
886,05-06-2017,13593
887,06-06-2017,82367
888,07-06-2017,81818
889,08-06-2017,74305
890,09-06-2017,55052
891,10-06-2017,0
892,11-06-2017,14551
893,12-06-2017,81931
894,13-06-2017,73866
895,14-06-2017,67498
896,15-06-2017,63840
897,16-06-2017,52918
898,17-06-2017,0
899,18-06-2017,11653
900,19-06-2017,75935
901,20-06-2017,69609
902,21-06-2017,64042
903,22-06-2017,62113
904,23-06-2017,45026
905,24-06-2017,0
906,25-06-2017,11181
907,26-06-2017,72533
908,27-06-2017,64924
909,28-06-2017,62773
910,29-06-2017,62264
911,30-06-2017,50035
912,01-07-2017,0
913,02-07-2017,11793
914,03-07-2017,76334
915,04-07-2017,68772
916,05-07-2017,62215
917,06-07-2017,58031
918,07-07-2017,45636
919,08-07-2017,0
920,09-07-2017,10800
921,10-07-2017,67256
922,11-07-2017,57393
923,12-07-2017,55594
924,13-07-2017,47559
925,14-07-2017,40384
926,15-07-2017,0
927,16-07-2017,7699
928,17-07-2017,60022
929,18-07-2017,56202
930,19-07-2017,46412
931,20-07-2017,46078
932,21-07-2017,36544
933,22-07-2017,0
934,23-07-2017,8041
935,24-07-2017,58657
936,25-07-2017,53931
937,26-07-2017,50266
938,27-07-2017,47777
939,28-07-2017,41041
940,29-07-2017,0
941,30-07-2017,8838
942,31-07-2017,69819
943,01-08-2017,63388
944,02-08-2017,60758
945,03-08-2017,57068
946,04-08-2017,49455
947,05-08-2017,0
948,06-08-2017,11995
949,07-08-2017,75516
950,08-08-2017,66609
951,09-08-2017,62154
952,10-08-2017,60848
953,11-08-2017,49184
954,12-08-2017,0
955,13-08-2017,11728
956,14-08-2017,69808
957,15-08-2017,64949
958,16-08-2017,63874
959,17-08-2017,59581
960,18-08-2017,48118
961,19-08-2017,0
962,20-08-2017,11670
963,21-08-2017,71649
964,22-08-2017,66626
965,23-08-2017,60965
966,24-08-2017,57242
967,25-08-2017,46648
968,26-08-2017,0
969,27-08-2017,10646
970,28-08-2017,72027
971,29-08-2017,63192
972,30-08-2017,61600
973,31-08-2017,61981
974,01-09-2017,50854
975,02-09-2017,0
976,03-09-2017,12707
977,04-09-2017,79718
978,05-09-2017,72266
979,06-09-2017,68642
980,07-09-2017,65202
981,08-09-2017,56542
982,09-09-2017,0
983,10-09-2017,14657
984,11-09-2017,77759
985,12-09-2017,73103
986,13-09-2017,68603
987,14-09-2017,64498
988,15-09-2017,50888
989,16-09-2017,0
990,17-09-2017,15382
991,18-09-2017,73080
992,19-09-2017,66667
993,20-09-2017,63786
994,21-09-2017,59908
995,22-09-2017,40637
996,23-09-2017,0
997,24-09-2017,10771
998,25-09-2017,74782
999,26-09-2017,68880
1000,27-09-2017,63408
1001,28-09-2017,62580
1002,29-09-2017,52936
1003,30-09-2017,0
1004,01-10-2017,10410
1005,02-10-2017,84131
1006,03-10-2017,65366
1007,04-10-2017,67557
1008,05-10-2017,65688
1009,06-10-2017,57050
1010,07-10-2017,0
1011,08-10-2017,13373
1012,09-10-2017,80038
1013,10-10-2017,77302
1014,11-10-2017,70164
1015,12-10-2017,62399
1016,13-10-2017,52994
1017,14-10-2017,0
1018,15-10-2017,9475
1019,16-10-2017,69226
1020,17-10-2017,62226
1021,18-10-2017,58204
1022,19-10-2017,53170
1023,20-10-2017,48192
1024,21-10-2017,0
1025,22-10-2017,9545
1026,23-10-2017,74460
1027,24-10-2017,65785
1028,25-10-2017,62048
1029,26-10-2017,60984
1030,27-10-2017,51567
1031,28-10-2017,0
1032,29-10-2017,11752
1033,30-10-2017,79453
1034,31-10-2017,62250
1035,01-11-2017,63071
1036,02-11-2017,69422
1037,03-11-2017,56905
1038,04-11-2017,0
1039,05-11-2017,12962
1040,06-11-2017,82246
1041,07-11-2017,75679
1042,08-11-2017,71545
1043,09-11-2017,67554
1044,10-11-2017,56318
1045,11-11-2017,0
1046,12-11-2017,10682
1047,13-11-2017,79976
1048,14-11-2017,74792
1049,15-11-2017,72759
1050,16-11-2017,67675
1051,17-11-2017,56850
1052,18-11-2017,0
1053,19-11-2017,11376
1054,20-11-2017,80687
1055,21-11-2017,78343
1056,22-11-2017,70914
1057,23-11-2017,73730
1058,24-11-2017,76401
1059,25-11-2017,0
1060,26-11-2017,38136
1061,27-11-2017,123921
1062,28-11-2017,122876
1063,29-11-2017,99384
1064,30-11-2017,91894
1065,01-12-2017,85510
1066,02-12-2017,0
1067,03-12-2017,31356
1068,04-12-2017,107499
1069,05-12-2017,103368
1070,06-12-2017,94752
1071,07-12-2017,94218
1072,08-12-2017,80475
1073,09-12-2017,0
1074,10-12-2017,25810
1075,11-12-2017,115063
1076,12-12-2017,104467
1077,13-12-2017,115206
1078,14-12-2017,100599
1079,15-12-2017,87949
1080,16-12-2017,0
1081,17-12-2017,37078
1082,18-12-2017,120375
1083,19-12-2017,118558
1084,20-12-2017,103329
1085,21-12-2017,82421
1086,22-12-2017,49531
1087,23-12-2017,0
1088,24-12-2017,0
1089,25-12-2017,1
1090,26-12-2017,1
1091,27-12-2017,69618
1092,28-12-2017,62759
1093,29-12-2017,55297
1094,30-12-2017,0
1095,31-12-2017,1
1096,01-01-2018,2
1097,02-01-2018,90467
1098,03-01-2018,92626
1099,04-01-2018,83508
1100,05-01-2018,66184
1101,06-01-2018,0
1102,07-01-2018,17774
1103,08-01-2018,98128
1104,09-01-2018,81837
1105,10-01-2018,75265
1106,11-01-2018,68408
1107,12-01-2018,56378
1108,13-01-2018,0
1109,14-01-2018,9741
1110,15-01-2018,83391
1111,16-01-2018,77656
1112,17-01-2018,73050
1113,18-01-2018,65770
1114,19-01-2018,52164
1115,20-01-2018,0
1116,21-01-2018,14792
1117,22-01-2018,82008
1118,23-01-2018,73810
1119,24-01-2018,68899
1120,25-01-2018,64517
1121,26-01-2018,56468
1122,27-01-2018,0
1123,28-01-2018,12543
1124,29-01-2018,79773
1125,30-01-2018,74304
1126,31-01-2018,67504
1127,01-02-2018,65498
1128,02-02-2018,59549
1129,03-02-2018,0
1130,04-02-2018,12870
1131,05-02-2018,85068
1132,06-02-2018,79518
1133,07-02-2018,72188
1134,08-02-2018,66624
1135,09-02-2018,57857
1136,10-02-2018,0
1137,11-02-2018,11832
1138,12-02-2018,81418
1139,13-02-2018,68702
1140,14-02-2018,57828
1141,15-02-2018,54207
1142,16-02-2018,48531
1143,17-02-2018,0
1144,18-02-2018,11699
1145,19-02-2018,70458
1146,20-02-2018,63070
1147,21-02-2018,60572
1148,22-02-2018,56702
1149,23-02-2018,48586
1150,24-02-2018,0
1151,25-02-2018,9592
1152,26-02-2018,80696
1153,27-02-2018,70302
1154,28-02-2018,65869
1155,01-03-2018,63738
1156,02-03-2018,56382
1157,03-03-2018,0
1158,04-03-2018,18480
1159,05-03-2018,81856
1160,06-03-2018,73161
1161,07-03-2018,67583
1162,08-03-2018,65191
1163,09-03-2018,53148
1164,10-03-2018,0
1165,11-03-2018,11780
